Licensee Name,Doing Business As,License Type,Issue Date,License Number,Street Address,City,State,Zip,Location
GREAT DIVIDE BREWING CO,GREAT DIVIDE BREWING CO,Fermented Malt Beverage Manufacturer,11/02/18,04-01004,1812 35TH STREET,Denver,CO,80216,"1812 35TH STREET
Denver, CO 80216
(39.770622, -104.979245)"
EPIC BREWING COMPANY LLC,EPIC BREWING COMPANY,Fermented Malt Beverage Manufacturer,11/02/18,04-01007,2401 WEST 6TH AVENUE,Denver,CO,80204,"2401 WEST 6TH AVENUE
Denver, CO 80204
(39.725755, -105.017548)"
BEVERAGE DISTRIBUTORS COMPANY LLC,BREAKTHRU BEVERAGE COLORADO,Fermented Malt Beverage Importer,11/02/18,04-01015,3980 CENTRAL PARK BLVD,Denver,CO,80238,
"DRY DOCK ENTERPRISES, INC",DRY DOCK BREWING CO,Fermented Malt Beverage Manufacturer,11/02/18,04-01008,2801 TOWER ROAD,Aurora,CO,80011,"2801 TOWER ROAD
Aurora, CO 80011
(39.756721, -104.772352)"
CRYSTAL SPRINGS BREWING COMPANY LLC,CRYSTAL SPRINGS BREWING COMPANY,Fermented Malt Beverage Manufacturer,11/02/18,04-01010,657 SOUTH TAYLOR AVENUE UNIT E,Louisville,CO,80027,"657 SOUTH TAYLOR AVENUE UNIT E
Louisville, CO 80027
(39.960187, -105.119995)"
COPPER KETTLE BREWING COMPANY LLC,COPPER KETTLE BREWING COMPANY,Fermented Malt Beverage Manufacturer,11/02/18,04-01011,1338 SOUTH VALENTIA STREET #100,Denver,CO,80247,"1338 SOUTH VALENTIA STREET #100
Denver, CO 80247
(39.692422, -104.891732)"
BOOTSTRAP BREWING COMPANY LLC,BOOTSTRAP BREWING COMPANY,Fermented Malt Beverage Manufacturer,11/02/18,04-01012,142 PRATT STREET,Longmont,CO,80501,"142 PRATT STREET
Longmont, CO 80501
(40.161524, -105.106867)"
ASPEN BREWING COMPANY LLC,ASPEN BREWING COMPANY LLC,Fermented Malt Beverage Manufacturer,11/02/18,04-01013,404 ASPEN AIRPORT BUSINESS CENTER,Aspen,CO,81611,"404 ASPEN AIRPORT BUSINESS CENTER
Aspen, CO 81611
(39.219616, -106.859324)"
"HIGH TRESTLE BREWING, LLC",DURANGO BEER AND ICE COMPANY,Fermented Malt Beverage Manufacturer,11/02/18,04-00991,3000 MAIN AVENUE,Durango,CO,81301,"3000 MAIN AVENUE
Durango, CO 81301
(37.29778, -107.872072)"
"FBBC, LLC",HOLIDAILY BREWING COMPANY,Fermented Malt Beverage Manufacturer,11/02/18,04-00994,801 BRICKYARD CIRCLE UNIT B,Golden,CO,80403,"801 BRICKYARD CIRCLE UNIT B
Golden, CO 80403
(39.780496, -105.232932)"
"ODD13 BREWING, INC",ODD13 BREWING,Fermented Malt Beverage Manufacturer,11/02/18,04-00995,505 STACY COURT SUITE D,Lafayette,CO,80026,"505 STACY COURT SUITE D
Lafayette, CO 80026
(39.984967, -105.097021)"
RISKY WIBBY LLC,WIBBY BREWING,Fermented Malt Beverage Manufacturer,11/02/18,04-00997,209 EMERY STREET,Longmont,CO,80501,"209 EMERY STREET
Longmont, CO 80501
(40.162348, -105.099878)"
"HIGH TRESTLE BREWING, LLC",DURANGO BEER AND ICE COMPANY,Fermented Malt Beverage Wholesale,11/02/18,04-00990,3000 MAIN AVENUE,Durango,CO,81301,"3000 MAIN AVENUE
Durango, CO 81301
(37.29778, -107.872072)"
"FBBC, LLC",HOLIDAILY BREWING COMPANY,Fermented Malt Beverage Wholesale,11/02/18,04-00993,801 BRICKYARD CIRCLE UNIT B,Golden,CO,80403,"801 BRICKYARD CIRCLE UNIT B
Golden, CO 80403
(39.780496, -105.232932)"
RISKY WIBBY LLC,WIBBY BREWING,Fermented Malt Beverage Wholesale,11/02/18,04-00996,209 EMERY STREET,Longmont,CO,80501,"209 EMERY STREET
Longmont, CO 80501
(40.162348, -105.099878)"
"GOOD RIVER BEER, LLC","GOOD RIVER BEER, LLC",Fermented Malt Beverage Wholesale,11/02/18,04-01005,1280 W 47TH AVENUE,Denver,CO,80211,"1280 W 47TH AVENUE
Denver, CO 80211
(39.781974, -105.003023)"
EPIC BREWING COMPANY LLC,EPIC BREWING COMPANY,Fermented Malt Beverage Wholesale,11/02/18,04-01006,2401 WEST 6TH AVENUE,Denver,CO,80204,"2401 WEST 6TH AVENUE
Denver, CO 80204
(39.725755, -105.017548)"
CRYSTAL SPRINGS BREWING COMPANY LLC,CRYSTAL SPRINGS BREWING COMPANY,Fermented Malt Beverage Wholesale,11/02/18,04-01009,657 SOUTH TAYLOR AVENUE UNIT E,Louisville,CO,80027,"657 SOUTH TAYLOR AVENUE UNIT E
Louisville, CO 80027
(39.960187, -105.119995)"
SCAPE TREADER INC.,SCAPE TREADER DWELLING,Hotel & Restaurant (city),11/02/18,03-10396,3350 WALNUT STREET,Denver,CO,80205,"3350 WALNUT STREET
Denver, CO 80205
(39.766234, -104.977158)"
COSTCO WHOLESALE CORPORATION,LYDIA J MALDONADO,Manager Permit (LLDS),11/01/18,03-10693,5608 SONNET HEIGHTS,Colorado Springs,CO,80918,"5608 SONNET HEIGHTS
Colorado Springs, CO 80918
(38.912392, -104.794256)"
JLB ENTERPRISE CORPORATION,JEWELL LIQUOR BOX,Liquor Store (city),11/02/18,03-10809,7853 WEST JEWELL AVENUE,Lakewood,CO,80232,"7853 WEST JEWELL AVENUE
Lakewood, CO 80232
(39.682223, -105.085703)"
MOLINA ENTERPRISES INC,MOLINA ENTERPRISES,Importer (vinous & spirituous),11/02/18,03-10432,9375 ARCHIBALD AVENUE SUITE 502,Rancho Cucamonga,CA,91730,"9375 ARCHIBALD AVENUE SUITE 502
Rancho Cucamonga, CA 91730
(34.08378, -117.593418)"
SZEKELY PIERRE JEAN-MARIE,DESPAGNE IMPORTS,Importer (vinous & spirituous),11/01/18,03-10728,1312 CASA GRANDE BLVD,Fort Collins,CO,80526,"1312 CASA GRANDE BLVD
Fort Collins, CO 80526
(40.543255, -105.100664)"
LIYA LLC,SHERIDAN FINE WINE & SPIRITS,Liquor Store (city),11/01/18,03-10810,65 SHERIDAN BLVD,Lakewood,CO,80226,"65 SHERIDAN BLVD
Lakewood, CO 80226
(39.717694, -105.053245)"
MKY INC,FLORIDA LIQUORS,Liquor Store (city),11/01/18,03-10469,7597 WEST FLORIDA AVENUE,Lakewood,CO,80232,"7597 WEST FLORIDA AVENUE
Lakewood, CO 80232
(39.689457, -105.079289)"
TIMINATH BEERWERKS LLC,TIMNATH BEERWERKS,Wholesale Beer (malt liquor),11/01/18,03-10829,4138 MAIN STREET UNIT C & D,Timnath,CO,80547,"4138 MAIN STREET UNIT C &amp; D
Timnath, CO 80547
(40.52923, -104.982284)"
PROST BREWING COMPANY LLC,PROST BREWING COMPANY,Fermented Malt Beverage Wholesale,11/01/18,04-01001,2540 19TH STREET,Denver,CO,80211,"2540 19TH STREET
Denver, CO 80211
(39.761161, -105.006927)"
MATTHEW OSTERMAN,SLEEPING GIANT BREWING CO.,Fermented Malt Beverage Manufacturer,11/01/18,04-00998,2500 WEST 5TH AVENUE,Denver,CO,80204,"2500 WEST 5TH AVENUE
Denver, CO 80204
(39.723915, -105.015849)"
RENEGADE BREWING COMPANY,RENEGADE BREWING COMPANY,Fermented Malt Beverage Manufacturer,11/01/18,04-00999,918 WEST 1ST AVENUE,Denver,CO,80223,"918 WEST 1ST AVENUE
Denver, CO 80223
(39.718404, -104.999492)"
PROST BREWING COMPANY LLC,PROST BREWING COMPANY,Fermented Malt Beverage Manufacturer,11/01/18,04-01000,2540 19TH STREET,Denver,CO,80211,"2540 19TH STREET
Denver, CO 80211
(39.761161, -105.006927)"
HIGH HOPS BREWERY LLC,HIGH HOPS BREWERY,Fermented Malt Beverage Manufacturer,11/01/18,04-01002,6461 HIGHWAY 392,Windsor,CO,80550,
"T.S. MARCUM, INC.",SHOP & HOP #11 (HIWAY 6),Fermented Malt Beverage Off (city),11/28/18,04-01066,0800 US HIGHWAY 6,Gypsum,CO,81637,"0800 US HIGHWAY 6
Gypsum, CO 81637
(39.650645, -106.954733)"
ST PATRICK'S BREWING CO,SLEEPING GIANT BREWING CO,Alternating Proprietor Premises,12/17/18,03-10962,2500 WEST 5TH AVENUE,Denver,CO,80204,"2500 WEST 5TH AVENUE
Denver, CO 80204
(39.723915, -105.015849)"
SAM'S WEST INC.,SAM'S CLUB #4770,Fermented Malt Beverage Off (city),01/17/19,04-01060,3247 23RD AVENUE,Evans,CO,80620,
VENGE VINEYARDS INC,"VENGE, CROIX",Wine Delivery Permit,02/07/19,03-11015,4708 SILVERADO TRAIL,Saint Helena,CA,94574,
"CHOP SHOP CASUAL URBAN EATERY SOBO, LLC",CHOP SHOP CASUAL URBAN EATERY SOBO,Hotel & Restaurant (city),02/11/19,03-11070,3150 SOUTH BROADWAY,Englewood,CO,80113,
"SAIGON BISTRO, INC.",SAIGON BISTRO,Hotel & Restaurant (city),01/18/19,03-11151,12303 EAST MISSISSIPPI AVENUE  #145,Aurora,CO,80012,
JON HICKOX,THE WINERY AT BULL RUN,Wine Delivery Permit,01/15/19,03-11133,15950 LEE HIGHWAY,Clifton,VA,20124,
XENIA VENTURES LLC,CHOICE CITY BUTCHER & DELI,Hotel & Restaurant (city),01/17/19,03-11033,104 WEST OLIVE STREET,Fort Collins,CO,80524,
UNUSUAL ATTITUDE BREWING LLC,FLYTECO BREWING,Wholesale Beer (malt liquor),01/25/19,03-09087,4499 WEST 38TH AVENUE SUITE 101,Denver,CO,80212,
RC FILLMORE LLC,FUZZY'S TACO SHOP,Hotel & Restaurant (city),01/07/19,03-10849,3111 NORTH CHESTNUT STREET,Colorado Springs,CO,80907,
DANG INCORPORATED,PHO BACHI,Hotel & Restaurant (city),01/09/19,03-10804,363 VILLAGE SQUARE LANE #130,Castle Pines,CO,80108,
KREUSER GALLERY LLC,KREUSER GALLERY LLS,Art Gallery Permit,01/22/19,03-11163,123 & 125 EAST BOULDER STREET,Colorado Springs,CO,80903,
MH DOLLAR MART LLC,MH DOLLAR MART LLC,Fermented Malt Beverage Off (city),02/14/19,04-01085,14581 MISSISSIPPI AVENUE,Aurora,CO,80012,
MARY COLORADO LLC,SUNSHINE LIQUORS,Liquor Store (city),02/14/19,03-11105,4300 JOSEPHINE STREET,Denver,CO,80216,
LYC INC,POKE BOWL ASIAN CAFE,Hotel & Restaurant (city),01/02/19,03-10769,10981 SOUTH PARKER ROAD,Parker,CO,80134,
SHERATON LICENSE OPERATING COMPANY LLC and DENVER HS-EF COURT PLACE LLC,SHERATON DENVER DOWNTOWN HOTEL,Hotel & Restaurant (city),02/12/19,03-10737,1550 COURT PLACE,Denver,CO,80202,
SUB TERRAIN LLC,THE MORNING TABLE,Hotel & Restaurant (city),02/26/19,03-11233,6565 GUN PARK DRIVE UNIT 190,Boulder,CO,80301,
SUNSHINE PHARMACY LLC,SUNSHINE PHARMACY,Fermented Malt Beverage Off (city),02/25/19,04-01116,567 MOUNTAIN VILLAGE BLVD UNIT 110,Telluride,CO,81435,
DILLON COMPANIES LLC,CHRISTY CATHLEEN MITCHELL,Manager Permit (LLDS),01/04/19,03-11016,11653 NORTH SETTLERS DRIVE,Parker,CO,80138,
WINDRIVER INVESTMENTS INC,SPEAKEASY MOVIE THEATRE,Lodging & Entertainment (City),02/20/19,03-11230,103 SOUTH HARRIS STREET,Breckenridge,CO,80424,
SMITH STORY WINE CELLARS LLC,SMITH STORY WINE CELLARS,Wine Delivery Permit,02/12/19,03-11258,1200 AMERICAN WAY,Windsor,CA,95492,
"REINS INTERNATIONAL COLORADO, INC",GYU-KAKU RESTAURANT,Hotel & Restaurant (city),01/29/19,03-10781,1998 18TH STREET,Denver,CO,80202,
THE LIQUOR CLOSET LLC,THE LIQUOR CLOSET LLC,Liquor Store (county),01/02/19,03-10922,52 SOUTH 8TH STREET,Guffey,CO,80820,
"VINTAGES, VINE AND WINE LLC","VINTAGES, VINES AND WINE, LLC",Wine Delivery Permit,01/02/19,03-11056,6705 CRISTO LANE,Santa Rosa,CA,95409,
U SAVE MART INC,U SAVE MART,Fermented Malt Beverage Off (city),01/16/19,04-01063,6590 MONACO STREET,Commerce City,CO,80022,
WP BEVERAGE LLC,VALERO,Fermented Malt Beverage Off (city),02/14/19,04-01098,520 EAST HIGHWAY 24,Woodland Park,CO,80863,
"SKIRTED HEIFER KSM, INC",SKIRTED HEIFER II,Hotel & Restaurant (city),01/24/19,03-10822,5935 DUBLIN BLVD UNIT 140,Colorado Springs,CO,80923,
BB1 LLC,LOW COUNTRY KITCHEN,Hotel & Restaurant (city),01/17/19,03-11044,207 9TH STREET,Steamboat Springs,CO,80487,
TERRI DELFINO,DELFINO VINEYARDS & WINERY,Wine Delivery Permit,02/22/19,03-11166,3829 COLONIAL ROAD,Roseburg,OR,97471,
DELLANNO'S CATERING LLC,DELLANNOS ITALIAN DELI & PIZZA,Beer & Wine (city),01/08/19,03-10871,6820 SOUTH LIVERPOOL STREET UNIT B,Aurora,CO,80016,
STRONGWATER IMP LLC,BARCODE LOUNGE,Hotel & Restaurant (city),02/14/19,03-10578,2700 LARIMER STREET,Denver,CO,80204,
7 HERMITS BREWING COMPANY LLC,7 HERMITS BREWING,Hotel & Restaurant (city),01/14/19,03-10904,278 HANSON RANCH ROAD UNIT 105 & 106,Vail,CO,81657,
"BRITISH PUB COMPANY, LLC",WINSTON'S PUB & GRILL,Tavern (city),01/16/19,03-10723,8101 EAST BELLEVIEW ST V AVENUE,Denver,CO,80237,
AASHKA INC & 7-ELEVEN INC,7-ELEVEN STORE 35617A,Fermented Malt Beverage Off (city),02/25/19,04-01078,3400 YORK STREET,Denver,CO,80205,
THE OASIS LLC,OASIS NIGHT CLUB DENVER,Tavern (city),02/11/19,03-10935,10005 EAST HAMPDEN AVENUE UNIT C,Denver,CO,80231,
BATCH & ABBRATCH LLC,HOPS CULTURE,Hotel & Restaurant (city),02/14/19,03-10919,414 EAST HYMAN AVENUE,Aspen,CO,81611,
ROOKIES BAR & GRILL LLC,ROOKIES BAR & GRILL,Hotel & Restaurant (city),01/14/19,03-07897,8017 FOUNTAIN MESA ROAD,Fountain,CO,80817,
BC MARKETING CONCEPTS INC,FULL SAIL BREWING COMPANY,Fermented Malt Beverage Nonresident,01/31/19,04-01101,506 COLUMBIA STREET,Hood River,OR,97031,
PESTER MARKETING COMPANY,ALTA #6125,Fermented Malt Beverage Off (county),01/03/19,04-00935,2998 NORTH AVENUE,Grand Junction,CO,81504,
COPIA VINEYARDS AND WINERY LLC,COPIA VINEYARDS,Wine Delivery Permit,01/07/19,03-11100,5414 VINEYARD DRIVE,Paso Robles,CA,93446,
GHUFRAN AND HERMAN LLC,LAHORE TIKA MASALA & BAR,Hotel & Restaurant (city),02/25/19,03-11275,6583 SOUTH PARKER ROAD,Centennial,CO,80016,
DASH BEVERAGE DISTRIBUTION LLC,DASH DISTRIBUTING,Fermented Malt Beverage Importer,01/14/19,04-01104,1202 AVENUE T,Grand Prairie,TX,75050,
DILLON COMPANIES LLC,TAMMY LAYNETT CAVANAUGH,Manager Permit (LLDS),01/04/19,03-11097,2645 TERRAVITA WAY,Castle Rock,CO,80108,
RANCHO DE SOLIS WINERY INC,SOLIS WINERY,Wine Delivery Permit,01/15/19,03-10900,3920 HECKER PASS HIGHWAY,Gilroy,CA,95020,
TEXAS FULFILLMENT SERVICES LLC,WINECUB,Wine Delivery Permit,01/02/19,03-11038,235 MIRACLE MILE UNIT A & B,Stonewall,TX,78671,
THE STINKY BOOT LLC,THE STINKY BOOT SALOON,Hotel & Restaurant / Optional (city),01/23/19,03-11093,75 SNOWFLAKE DRIVE BLD #6,Breckenridge,CO,80424,
A.E.E. FOOD AND SPIRITS LLC,ARI'S TAVERN,Tavern (county),02/27/19,03-11325,5686 PECOS STREET,Denver,CO,80221,
"AIMBRIDGE COMMERCIAL REAL ESTATE III, LLC",CAMPUS LOUNGE,Hotel & Restaurant (city),02/14/19,03-10724,701 SOUTH UNIVERSITY BOULEVARD,Denver,CO,80209,
DILLON COMPANIES LLC,JESSICA TURLEY,Manager Permit (LLDS),02/20/19,03-11227,2162 PLEASANT HILL CIRCLE,Parker,CO,80138,
DELI ITALIA PIZZERIA & MARKET LLC,DELI ITALIA PIZZERIA & MARKET,Hotel & Restaurant (city),02/05/19,03-10972,1990 WADSWORTH BLVD #1,Lakewood,CO,80214,
CVS PHARMACY INC,CVS/PHARMACY #11104,Fermented Malt Beverage Off (city),01/17/19,04-01022,4050 FUTURE STREET,Castle Rock,CO,80109,
SAM'S WEST INC,SAM'S CLUB #6634,Fermented Malt Beverage Off (city),01/17/19,04-01099,7817 PARK MEADOWS DRIVE,Lone Tree,CO,80124,
YAMPA BEVERAGE SERVICES INC,EMBASSY SUITES BY HILTON DENVER INTERNATIONAL AIRPORT,Hotel & Restaurant (city),01/16/19,03-10443,7001 YAMPA STREET,Denver,CO,80249,
FINO'S GROUP INC,CILANTRO - TACOS TEQUILA MEZCAL,Hotel & Restaurant (city),01/02/19,03-10561,1703 FEDERAL BLVD,Denver,CO,80204,
JUMAR VENTURES LLC,SNACK SHACK 2,Fermented Malt Beverage Off (city),01/14/19,04-00602,8005 FOUNTAIN MESA ROAD,Fountain,CO,80817,
SPRINGS ABC LLC,THE SPRINGS RESORT & SPA,Resort Complex (city),01/04/19,03-11036,165 & 323 HOT SPRINGS BOULEVARD,Pagosa Springs,CO,81147,
SAM'S WEST INC,SAM'S CLUB #6549,Fermented Malt Beverage Off (city),02/19/19,04-01100,412 EAGLERIDGE BOULEVARD,Pueblo,CO,81008,
ZALVGR LTD,DAILY PERKS ON 5TH,Tavern (city),01/22/19,03-10796,110 EAST 5TH STREET,Walsenburg,CO,81089,
PEAK VIEW BREWING COMPANY LLC,PEAK VIEW BREWING COMPANY,Wholesale Beer (malt liquor),02/07/19,03-10414,9672 EAST ARAPAHOE ROAD,Greenwood Village,CO,80112,
DHILLON BROTHERS INC & 7-ELEVEN INC,7-ELEVEN STORE 27238B,Fermented Malt Beverage Off (city),02/20/19,04-01086,8378 SHERIDAN BLVD,Westminster,CO,80003,
NUM INC.,LIGHT RAIL WINE AND ALE,Liquor Store (city),02/22/19,03-11303,14799 WEST 6TH AVENUE,Golden,CO,80401,
U PUMP INC,U PUMP INC,Fermented Malt Beverage Off (city),01/28/19,04-01087,5440 WEST MISSISSIPPI AVENUE,Lakewood,CO,80226,
VINELANDS 79 LLC,VINELANDS 79 LLC,Limited Winery,01/25/19,03-10594,3839 G ROAD,Palisade,CO,81526,
JAIN PARTNERS INC,THE GARLIC KNOT,Beer & Wine (city),01/17/19,03-11022,2601 SOUTH LEMAY AVENUE #30,Fort Collins,CO,80525,
"EL JARIPEO, LLC",MEXICAN FOOD RESTAURANT EL JARIPEO SPORTS BAR,Hotel & Restaurant (city),02/05/19,03-10786,1050 SOUTH HAVANA STREET,Aurora,CO,80012,
HIGH WEST INVESTMENTS LLC,VINO GIU,Beer & Wine (city),02/13/19,03-11128,207 PARK LANE,Estes Park,CO,80517,
SBS VILLAGE MARKET LLC,WILD PLUM,Beer & Wine (city),01/10/19,03-11032,2525 VILLAGE DRIVE #1A,Steamboat Springs,CO,80487,
"SALIDA RAINBOW HOTEL OWNER, LLC",LOYAL DUKE LODGE,Beer & Wine (city),02/14/19,03-10821,525 WEST RAINBOW BLVD,Salida,CO,81201,
CUGI LLC,SNOW ANGEL BAR & GRILL,Hotel & Restaurant / Optional (city),02/19/19,03-11183,404 GRANT STREET,Salida,CO,81201,
FS WHEATRIDGE LLC,FATSHACK,Hotel & Restaurant (city),01/14/19,03-10872,10160 WEST 50TH AVENUE UNIT 5,Wheat Ridge,CO,80033,
MARIA'S TACO SHOP LLC,MARIA'S TACO SHOP,Hotel & Restaurant (city),02/21/19,03-10232,2812 EAST PIKES PEAK AVENUE,Colorado Springs,CO,80909,
PESTER MARKETING COMPANY,ALTA #6318,Fermented Malt Beverage Off (city),02/05/19,04-01067,51171 HIGHWAY 6 & 24,Glenwood Springs,CO,81602,
COUGAR VINEYARD AND WINERY,COUGAR WINE CO,Wine Delivery Permit,01/07/19,03-11099,39870 DE PORTOLA ROAD,Temecula,CA,92592,
LOUISIANA CRAWFISH INC,THE JUICY SEAFOOD,Hotel & Restaurant (city),02/26/19,03-11132,2727 SOUTH PARKER ROAD UNIT A,Aurora,CO,80014,
DIRTYDEEDS INC,GARRISON STREET GRILL,Hotel & Restaurant (city),02/05/19,03-10970,608 GARRISON STREET UNIT A,Lakewood,CO,80215,
GENERATION NEXT CORP,MUGS COFFEE LOUNGE,Hotel & Restaurant (city),01/17/19,03-10966,261 SOUTH COLLEGE AVENUE,Fort Collins,CO,80524,
GHANG THAI RESTAURANT INC,CHAANG THAI,Hotel & Restaurant (city),02/15/19,03-11019,7525 NORTH ACADEMY BLVD,Colorado Springs,CO,80920,
YOUNG LLC,CAFE COLORADO,Hotel & Restaurant (city),02/19/19,03-10978,565 VILLAGE DRIVE SUITE I & J,Pagosa Springs,CO,81147,
VITAMIN COTTAGE NATURAL FOOD MARKETS INC,NATURAL GROCERS,Fermented Malt Beverage Off (city),02/20/19,04-01113,125 EAST MEADOWS DRIVE,Glenwood Springs,CO,81601,
BRENDA O'FARRELL,BEULAH INN,Hotel & Restaurant (county),01/22/19,03-11076,8920 GRAND AVENUE,Beulah,CO,81023,
ADDIS LIQUOR LLC,STATION LIQUOR,Liquor Store (city),02/06/19,03-10547,782 SHERIDAN BOULEVARD,Denver,CO,80214,
LEAF INC,TANGERINE RESTAURANT,Hotel & Restaurant (city),02/15/19,03-11226,379 MAIN STREET,Longmont,CO,80501,
LODO'S 1944-1946 MARKET STREET LLC,LODO'S BAR & GRILL/ HOUSE OF MIRRORS,Hotel & Restaurant (city),02/13/19,03-11125,1946 MARKET STREET,Denver,CO,80202,
HOME-GROWN INDUSTRIES OF COLORADO INC,MELLOW MUSHROOM,Hotel & Restaurant (city),01/18/19,03-11010,1201 16TH STREET SUITE 108,Denver,CO,80202,
THE BICYCLIST LLC,TANDEM BAR,Tavern (city),02/20/19,03-11297,1300 EAST 17TH AVENUE,Denver,CO,80218,
PINOCCHIOS LOVLAND LLC,PINOCCHIOS INCREDIBLE ITALIAN,Hotel & Restaurant (city),01/17/19,03-11004,1455 ROCKY MOUNTAIN AVENUE,Loveland,CO,80538,
REFA DISTRIBUTING CO INC,REFA DISTRIBUTING CO INC,Fermented Malt Beverage Wholesale,01/04/19,04-01084,6773 E 50TH AVENUE UNIT B SE CORNER,Commerce City,CO,80022,
NO. 302 LLC,SINNERS AND SAINTS,Tavern (city),01/11/19,03-10798,221 PERRY STREET,Castle Rock,CO,80104,
ALAMEDA DISCOUNT LIQUOR STORE CORP,ALAMEDA DISCOUNT LIQUOR STORE,Liquor Store (city),02/25/19,03-10968,6241 WEST ALAMEDA AVENUE,Lakewood,CO,80226,
SAM'S WEST INC,SAM'S CLUB #4745,Fermented Malt Beverage Off (city),01/08/19,04-01070,9601 GRANT STREET,Thornton,CO,80229,
PESTER MARKETING COMPANY,ALTA #4999,Fermented Malt Beverage Off (city),02/19/19,04-01081,9999 WEST 38TH AVENUE,Wheat Ridge,CO,80033,
BENT BARLEY BREWING COMPANY LLC,BENT BARLEY BREWING COMPANY,Manufacturer (brewery),02/25/19,03-11081,6200 SOUTH MAIN STREET SUITE 110,Aurora,CO,80016,
JOHN M TRUJILLO,RAND YACHT CLUB,Hotel & Restaurant (county),01/10/19,03-11006,10180 HIGHWAY 125,Rand,CO,80473,
PEAK VIEW BREWING COMPANY LLC,PEAK VIEW BREWING COMPANY,Manufacturer (brewery),02/07/19,03-10415,9672 EAST ARAPAHOE ROAD,Greenwood Village,CO,80112,
REDSTONE CASTLE INC,REDSTONE CASTLE,Lodging & Entertainment (County),02/05/19,03-11049,58 REDSTONE BLVD,Redstone,CO,81623,
NOOK DEPOT AND BAKERY LLC,SAGE HEN CAFE,Beer & Wine (city),02/11/19,03-10980,220 EAST 12TH STREET,Silverton,CO,81433,
E & J BROTHERS LLC,LUCKY ME SUPERSTORE,Fermented Malt Beverage Off (city),01/08/19,04-01021,2902 PATTERSON ROAD,Grand Junction,CO,81504,
TOM'S TOWN DISTILLING COMPANY LLC,TOM'S TOWN DISTILLING COMPANY,Importer (vinous & spirituous),01/07/19,03-10897,1701 MAIN STREET,Kansas City,MO,64108,
BREWERY 121 LLC,OLD 121 BREWHOUSE,Manufacturer (brewery),01/24/19,03-10792,1057 SOUTH WADSWORTH BLVD SUITE 60,Lakewood,CO,80226,
HARVEST CORPORATION,CORNER RAMEN,Hotel & Restaurant (city),01/18/19,03-11146,1629 EAST BRUCE RANDOLPH AVENUE,Denver,CO,80205,
PELTZER FAMILY CELLARS LLC,PELTZER FAMILY CELLARS,Wine Delivery Permit,02/12/19,03-11236,40275 CALLE CONTENTO,Temecula,CA,92591,
LINNE CALODO INC,LINNE CALODO CELLARS,Wine Delivery Permit,02/14/19,03-11283,3845 OAKDALE ROAD,Paso Robles,CA,93446,
COSTCO WHOLESALE CORPORATION,COSTCO WHOLESALE #440,Fermented Malt Beverage Off (city),01/03/19,04-01018,6400 WEST 92ND AVENUE,Westminster,CO,80031,
EMMOLO RIVER RANCH LLC,EMMOLO,Wine Delivery Permit,02/14/19,03-11296,2650 CORDELIA ROAD,Fairfield,CA,94534,
GHC EAST FT COLLINS OPERATOR LLC,GENESIS HEALTH CLUBS,Lodging & Entertainment (City),01/22/19,03-10597,1307 EAST PROSPECT ROAD,Fort Collins,CO,80521,
BPI ENTERPRISES LLC,RORY'S DINER,Hotel & Restaurant (city),02/12/19,03-11212,11020 SOUTH PIKES PEAK DRIVE SUITE 140-150,Parker,CO,80138,
GAINEY VINEYARD,GAINEY VINEYARD,Wine Delivery Permit,01/07/19,03-11102,3950 EAST HIGHWAY 246,Santa Ynez,CA,93460,
SOCIAL BAR & LOUNGE #1 LLC,SOCIAL BAR & LOUNGE,Tavern (city),02/14/19,03-11185,3625 WEST BOWLES AVENUE UNIT #9,Littleton,CO,80123,
WIDE OPEN SALOON LLC,WIDE OPEN SALOON,Hotel & Restaurant (county),02/08/19,03-11067,5607 US 85,Sedalia,CO,80135,
THE EMPOURIUM BREWING COMPANY,THE EMPOURIUM BREWING COMPANY,Manufacturer (brewery),02/21/19,03-11238,4385 W 42ND AVENUE,Castle Rock,CO,80104,
AAKC CHERRY CREEK PROPERTY OWNER LP,HOLIDAY INN CHERRY CREEK,Hotel & Restaurant (city),02/15/19,03-11279,455 SOUTH COLORADO BOULEVARD,Denver,CO,80246,
BAD AXE THROWING USA INC,BAD AXE THROWING USA,Beer & Wine (city),02/06/19,03-11090,"3500 ACADEMY BLVD NORTH, SUITE 3536",Colorado Springs,CO,80917,
ALPENROSE VAIL LLC,ALPENROSE VAIL,Hotel & Restaurant (city),02/28/19,03-11311,100 EAST MEADOW DRIVE #25,Vail,CO,81657,
DAVID NAGENGAST,CINQUAIN CELLARS,Wine Delivery Permit,01/07/19,03-11103,6404 INDEPENDENCE RANCH PLACE,San Miguel,CA,93451,
COLENE CLEMENS VINEYARDS LLC,COLENE CLEMENS VINEYARDS,Wine Delivery Permit,01/02/19,03-11060,22501 NE DOPP ROAD,Newberg,OR,97132,
KNUCKLE HEAD 339 LLC,ROOSTERS GRILLE & PIZZARIA,Hotel & Restaurant (city),02/21/19,03-11188,1000 5TH STREET,Calhan,CO,80808,
"BE OUR GUEST, LLC",AMBLI NEXT DOOR,Hotel & Restaurant (city),02/20/19,03-10679,600 SOUTH HOLLY STREET UNIT 113,Denver,CO,80246,
MT FUJI JAPANESE CUISINE II INC,MT FUJI JAPANESE CUISINE,Hotel & Restaurant (city),01/18/19,03-11059,4714 MILESTONE LANE #H,Castle Rock,CO,80104,
